,buy index,buy date,sell index,sell date,Profit/Loss
0,0,2018-01-01,1,2018-01-02,1445.0
1,2,2018-01-03,4,2018-01-05,1829.0300000000007
2,5,2018-01-06,6,2018-01-07,-750.6399999999994
3,7,2018-01-08,9,2018-01-10,-351.6800000000003
4,10,2018-01-11,13,2018-01-14,-396.5
5,14,2018-01-15,15,2018-01-16,-2834.7700000000004
6,16,2018-01-17,17,2018-01-18,1815.0
7,18,2018-01-19,19,2018-01-20,1849.8999999999996
8,20,2018-01-21,21,2018-01-22,-944.7600000000002
9,22,2018-01-23,29,2018-01-30,-1126.2099999999991
10,30,2018-01-31,31,2018-02-01,-924.0799999999999
11,32,2018-02-02,33,2018-02-03,751.0900000000001
12,34,2018-02-04,35,2018-02-05,-1383.9100000000008
13,36,2018-02-06,37,2018-02-07,1044.9899999999998
14,38,2018-02-08,39,2018-02-09,840.5799999999999
15,40,2018-02-10,44,2018-02-14,1013.4400000000005
16,45,2018-02-15,47,2018-02-17,689.2099999999991
17,48,2018-02-18,50,2018-02-20,946.0300000000007
18,51,2018-02-21,52,2018-02-22,-632.0900000000001
19,53,2018-02-23,54,2018-02-24,-619.7800000000007
20,55,2018-02-25,56,2018-02-26,841.0499999999993
21,57,2018-02-27,61,2018-03-03,871.7099999999991
22,62,2018-03-04,64,2018-03-06,-672.0499999999993
23,65,2018-03-07,66,2018-03-08,-373.09000000000015
24,67,2018-03-09,69,2018-03-11,694.3999999999996
25,70,2018-03-12,72,2018-03-14,-959.8299999999999
26,73,2018-03-15,75,2018-03-17,-307.0500000000002
27,76,2018-03-18,77,2018-03-19,862.9799999999996
28,78,2018-03-20,81,2018-03-23,-197.98999999999978
29,82,2018-03-24,83,2018-03-25,-305.5400000000009
30,84,2018-03-26,87,2018-03-29,-447.9899999999998
31,88,2018-03-30,92,2018-04-03,727.4200000000001
32,93,2018-04-04,94,2018-04-05,-150.0
33,95,2018-04-06,96,2018-04-07,396.71000000000004
34,97,2018-04-08,98,2018-04-09,-249.97999999999956
35,99,2018-04-10,101,2018-04-12,836.8900000000003
36,102,2018-04-13,106,2018-04-17,-172.67000000000007
37,107,2018-04-18,110,2018-04-21,670.9699999999993
38,111,2018-04-22,122,2018-05-03,736.1900000000005
39,123,2018-05-04,126,2018-05-07,-273.2699999999986
40,127,2018-05-08,130,2018-05-11,-610.0699999999997
41,131,2018-05-12,136,2018-05-17,-196.0
42,137,2018-05-18,142,2018-05-23,-721.0500000000002
43,143,2018-05-24,144,2018-05-25,-168.5599999999995
44,145,2018-05-26,146,2018-05-27,-273.0
45,147,2018-05-28,152,2018-06-02,465.0699999999997
46,153,2018-06-03,154,2018-06-04,-180.0
47,155,2018-06-05,160,2018-06-10,-858.3999999999996
48,161,2018-06-11,163,2018-06-13,-420.3699999999999
49,164,2018-06-14,166,2018-06-16,-141.8699999999999
50,167,2018-06-17,172,2018-06-22,-302.03999999999996
51,173,2018-06-23,179,2018-06-29,-236.80000000000018
52,180,2018-06-30,188,2018-07-08,438.4599999999991
53,189,2018-07-09,190,2018-07-10,-322.5799999999999
54,191,2018-07-11,192,2018-07-12,-168.55000000000018
55,193,2018-07-13,196,2018-07-16,427.6300000000001
56,197,2018-07-17,204,2018-07-24,913.3500000000004
57,205,2018-07-25,211,2018-07-31,-330.9400000000005
58,212,2018-08-01,215,2018-08-04,-556.7299999999996
59,216,2018-08-05,219,2018-08-08,-749.9200000000001
60,220,2018-08-09,223,2018-08-12,-166.5699999999997
61,224,2018-08-13,225,2018-08-14,-200.0
62,226,2018-08-15,229,2018-08-18,-157.94999999999982
63,230,2018-08-19,239,2018-08-28,702.0600000000004
64,240,2018-08-29,241,2018-08-30,-189.0699999999997
65,242,2018-08-31,248,2018-09-06,-619.8999999999996
66,249,2018-09-07,250,2018-09-08,-230.8199999999997
67,251,2018-09-09,253,2018-09-11,-134.27000000000044
68,254,2018-09-12,261,2018-09-19,-148.25
69,262,2018-09-20,287,2018-10-15,405.5699999999997
70,288,2018-10-16,291,2018-10-19,-160.69999999999982
71,292,2018-10-20,301,2018-10-29,-203.59999999999945
72,302,2018-10-30,317,2018-11-14,-458.52999999999975
73,318,2018-11-15,322,2018-11-19,-615.5700000000006
74,323,2018-11-20,324,2018-11-21,-173.51000000000022
75,325,2018-11-22,326,2018-11-23,-182.88999999999942
76,327,2018-11-24,328,2018-11-25,-481.4200000000001
77,329,2018-11-26,330,2018-11-27,-124.48999999999978
78,331,2018-11-28,333,2018-11-30,-263.98
79,334,2018-12-01,336,2018-12-03,-343.75999999999976
80,337,2018-12-04,338,2018-12-05,-162.05000000000018
81,339,2018-12-06,340,2018-12-07,-403.5899999999997
82,341,2018-12-08,347,2018-12-14,-186.96000000000004
83,348,2018-12-15,350,2018-12-17,356.6199999999999
84,351,2018-12-18,352,2018-12-19,271.46000000000004
85,353,2018-12-20,354,2018-12-21,-86.40999999999985
86,355,2018-12-22,358,2018-12-25,-143.98000000000002
87,359,2018-12-26,370,2019-01-06,256.09000000000015
88,371,2019-01-07,374,2019-01-10,-404.1099999999997
89,375,2019-01-11,377,2019-01-13,-143.1300000000001
90,378,2019-01-14,384,2019-01-20,-105.01000000000022
91,385,2019-01-21,392,2019-01-28,-110.9699999999998
92,393,2019-01-29,403,2019-02-08,240.62000000000035
93,404,2019-02-09,413,2019-02-18,260.3000000000002
94,414,2019-02-19,419,2019-02-24,-154.98999999999978
95,420,2019-02-25,427,2019-03-04,-148.3699999999999
96,428,2019-03-05,452,2019-03-29,258.8699999999999
97,453,2019-03-30,456,2019-04-02,624.3899999999999
98,457,2019-04-03,458,2019-04-04,-249.6899999999996
99,459,2019-04-05,464,2019-04-10,361.3000000000002
100,465,2019-04-11,476,2019-04-22,314.78999999999996
101,477,2019-04-23,478,2019-04-24,-207.3800000000001
102,479,2019-04-25,480,2019-04-26,-230.4399999999996
103,481,2019-04-27,487,2019-05-03,452.34000000000015
104,488,2019-05-04,493,2019-05-09,464.90000000000055
105,494,2019-05-10,495,2019-05-11,480.5100000000002
106,496,2019-05-12,497,2019-05-13,720.75
107,498,2019-05-14,501,2019-05-17,-729.1300000000001
108,502,2019-05-18,503,2019-05-19,707.3899999999994
109,504,2019-05-20,511,2019-05-27,1027.5100000000002
110,512,2019-05-28,515,2019-05-31,-324.7300000000014
111,516,2019-06-01,519,2019-06-04,-825.4399999999996
112,520,2019-06-05,521,2019-06-06,-177.78000000000065
113,522,2019-06-07,523,2019-06-08,-240.64999999999964
114,524,2019-06-09,528,2019-06-13,596.5799999999999
115,529,2019-06-14,531,2019-06-16,656.3400000000001
116,532,2019-06-17,536,2019-06-21,637.1399999999994
117,537,2019-06-22,540,2019-06-25,784.4200000000001
118,541,2019-06-26,542,2019-06-27,-2739.8499999999985
119,543,2019-06-28,545,2019-06-30,-724.710000000001
120,546,2019-07-01,548,2019-07-03,920.4499999999989
121,549,2019-07-04,550,2019-07-05,-586.6800000000003
122,551,2019-07-06,554,2019-07-09,1113.3899999999994
123,555,2019-07-10,556,2019-07-11,-566.2600000000002
124,557,2019-07-12,558,2019-07-13,-425.10000000000036
125,559,2019-07-14,561,2019-07-16,-883.2800000000007
126,562,2019-07-17,565,2019-07-20,980.6900000000005
