datetime,high,low,close,open,volume
01-01-2018,13818.55,12750,13135,13715.65,6970.441076
02-01-2018,14750,12890.02,14580,13135,16359.34734
03-01-2018,15473.49,14150,14749.97,14576.87,19457.2386
04-01-2018,15280,13918.04,14811,14710,18783.87656
05-01-2018,17118.13,14600,16579,14805.01,22383.65733
06-01-2018,17176.24,16011.21,16769.89,16579,20207.4443
07-01-2018,17143.13,15610,16019.25,16775,14684.02661
08-01-2018,16500,12812,14900,16020.58,24892.24412
09-01-2018,15500,14011.05,14803.44,14900,14683.26715
10-01-2018,14863.93,13131.31,14548.32,14803.46,18317.22535
11-01-2018,14968.68,11400,13661.5,14548.32,29883.34094
12-01-2018,14109.78,12500,13405.28,13661.35,19909.87154
13-01-2018,14580,13350,14259.37,13379.69,12690.13287
14-01-2018,14348.19,12569.2,13265,14259.37,16420.2972
15-01-2018,14249.99,13081,13827.95,13265,14435.81354
16-01-2018,13891.01,10575.35,10993.18,13811.01,44935.64954
17-01-2018,11523.3,9035,9650,10993.13,75283.36793
18-01-2018,11878.82,9640,11465,9651,57025.04753
19-01-2018,11795,10360,11185.1,11465,39463.66291
20-01-2018,13099,11047,13035,11185.1,29034.1669
21-01-2018,13050.12,11024,11344.57,13035.02,38457.18497
22-01-2018,11926.35,10139.97,10399.81,11344.57,40270.39499
23-01-2018,11399,9900.24,11200,10399.82,41347.54786
24-01-2018,11570.48,10500,11069.09,11199.13,29674.20477
25-01-2018,11794.05,10950.21,11250,11068.79,21799.94508
26-01-2018,11643,10311.15,11033,11245,32770.57013
27-01-2018,11625,10800.93,11485,11039,18668.63383
28-01-2018,12244,11400,11783,11484.94,17845.37606
29-01-2018,11999.98,11139.55,11379.02,11783.05,14696.78337
30-01-2018,11410,9900,10073.79,11394.75,20058.46752
31-01-2018,10600,9700,10054.11,10090,23688.96233
01-02-2018,10335,9011.51,9130.03,10061.19,25257.82256
02-02-2018,9560.01,8010.02,8647.91,9130.3,54378.49192
03-02-2018,9459.6,8229,9399,8647.91,30086.95974
04-02-2018,9473.01,8300,8349.04,9400,25927.87222
05-02-2018,8474,6929.83,6965.13,8359.99,50871.96858
06-02-2018,7543.99,6000.01,7180.01,6966.46,104991.2084
07-02-2018,8476,7150.01,8225,7180.01,67124.49181
08-02-2018,8259.12,7531.11,7784.02,8225,13118.94017
09-02-2018,8738,7789.9,8624.6,7789.9,14419.13624
10-02-2018,9065.78,8120,8272.59,8624.59,45930.98997
11-02-2018,8572,7726.53,8313.33,8272.92,48282.32817
12-02-2018,8840.82,8015,8685.24,8321.22,39195.08361
13-02-2018,8989,8351,8569.69,8685.27,38804.44845
14-02-2018,9400,8461,9286.03,8569.69,39594.08752
15-02-2018,10219.5,9170,10063.75,9286.03,49965.85287
16-02-2018,10323.37,9666,9945,10056.11,42039.72239
17-02-2018,10877.91,9881.53,10752.96,9945,40210.1539
18-02-2018,11274,10080,10745,10752.95,59818.32194
19-02-2018,11250,10270.33,11082.94,10743.04,42535.55281
20-02-2018,11748.01,11005,11691.03,11093.98,41084.93698
21-02-2018,11786.01,10312.12,10501.04,11691.05,70124.51176
22-02-2018,10933.44,9679,9868.95,10501.04,69830.21839
23-02-2018,10435,9570.19,10180.04,9862.33,57307.81154
24-02-2018,10496.97,9556,9560.26,10184.28,42446.11035
25-02-2018,9847,9274.8,9410.02,9560.26,30679.11834
26-02-2018,10400,9350,10251.07,9417,34523.21475
27-02-2018,10870,10121,10638.29,10251.07,32081.10372
28-02-2018,11098,10375.54,10480.98,10638.3,29603.12218
01-03-2018,10938,10240,10915.57,10480.88,23946.97135
02-03-2018,11200,10770,10909.99,10915.56,26499.02351
03-03-2018,11544,10837.97,11510,10909.99,20880.25687
04-03-2018,11539.96,11050.02,11370,11510,17306.23269
05-03-2018,11676.99,11291.01,11650,11370.01,15377.66764
06-03-2018,11710,10690,10697.95,11650,26900.57177
07-03-2018,10899,9389.31,9700.76,10697.94,47816.91273
08-03-2018,10138.04,9060,9327.67,9700,43767.49145
09-03-2018,9471,8329,8894.62,9325.09,59690.72899
10-03-2018,9490,8653.88,9080,8894.62,39834.19922
11-03-2018,9711,8450,9589.02,9080,44294.25338
12-03-2018,9888.88,9004,9210,9589.02,40776.18536
13-03-2018,9474,8780,9130.65,9210,44487.86546
14-03-2018,9333.78,8201,8250.17,9142.51,40917.24037
15-03-2018,8430,7650,8126,8252.01,59409.64435
16-03-2018,8611.64,7900,8507.13,8126,40465.23298
17-03-2018,8588.88,7758,7818.95,8506.61,31034.6098
18-03-2018,8050,7322,7436,7820,47402.69742
19-03-2018,8705.23,7379.82,8298.98,7440,66884.14113
20-03-2018,8891.3,8280,8820,8298.98,42863.35494
21-03-2018,9177.01,8750.6,8879,8820,44002.68907
22-03-2018,9100,8465.1,8661,8880,41076.61353
23-03-2018,8770,8269,8622.01,8648.26,39541.056
24-03-2018,8999.95,8559.25,8916.01,8618.02,32273.50243
25-03-2018,8968,8365.77,8610.47,8916.01,32907.70434
26-03-2018,8669.85,7860,7883,8610,38822.31429
27-03-2018,8268.5,7730,7870.01,7883.06,42064.9384
28-03-2018,8109,7728,7944.69,7870.01,28507.04876
29-03-2018,8009,7334,7435.01,7940.12,38660.55277
30-03-2018,7478.94,6600.1,6738.58,7435.01,76318.90225
31-03-2018,7223.36,6710,7021,6738.58,39645.83178
01-04-2018,7068.9,6430,6815,7021,42111.19484
02-04-2018,7125,6753,6979.89,6815.27,34874.54543
03-04-2018,7499.99,6890,7466,6974.07,36433.08981
04-04-2018,7520,6721,6850,7466.85,42227.81871
05-04-2018,6902,6566.69,6700,6850,40419.52274
06-04-2018,6850,6500,6589,6708.71,29148.42681
07-04-2018,7070,6516.67,6985.71,6589.99,31412.08108
08-04-2018,7109.13,6850.01,6999.99,6985.73,22718.92808
09-04-2018,7185,6676.5,6750.01,6999.99,31783.69109
10-04-2018,6874,6611,6853,6750.01,23781.92918
11-04-2018,6990,6768.01,6899.75,6853,23410.51131
12-04-2018,8012.23,6743.2,7689.89,6899.75,59200.16839
13-04-2018,8233.39,7680,8117.84,7688.67,51872.51769
14-04-2018,8186,7768.47,8028,8117.93,40739.34122
15-04-2018,8429.54,7941,8321.02,8028,28536.39368
16-04-2018,8419,7867,8020,8321.5,35979.96594
17-04-2018,8173.7,7912.08,7945.17,8020,27954.21814
18-04-2018,8149.89,7825.4,8109,7941.97,29490.94348
19-04-2018,8296,8080,8274.57,8109,29014.33489
20-04-2018,8577.9,8177.09,8505.01,8274.57,33998.03954
21-04-2018,9035,8490,8779.97,8505.04,46638.26569
22-04-2018,9020.67,8707,8948.8,8780,27251.46643
23-04-2018,8985,8727.68,8893.99,8948.8,27843.53544
24-04-2018,9420,8800.6,9410.99,8894,38860.78279
25-04-2018,9759.82,8730,8991.03,9410.99,82692.02653
26-04-2018,9185.01,8651.62,8845.09,8991.04,43964.48387
27-04-2018,9395,8838.35,9230.89,8845.1,37434.46561
28-04-2018,9427.48,8870,9390.52,9230.89,39213.11527
29-04-2018,9570.51,9163.74,9344,9398.98,38776.43008
30-04-2018,9458.64,9124.99,9350,9344,32496.75476
01-05-2018,9359.48,8800.49,8985,9351,42487.37262
02-05-2018,9217.3,8962,9125,8985,26127.7889
03-05-2018,9779,9068.5,9684.99,9136.68,37319.89534
04-05-2018,9844,9520.85,9649.97,9690,31965.54215
05-05-2018,10020,9631.03,9888.73,9649.95,24422.68778
06-05-2018,9970,9417.03,9572.71,9888.73,28788.86337
07-05-2018,9689.67,9181,9376.7,9572.71,31834.94514
08-05-2018,9475.7,9060.54,9217,9376.66,27104.43819
09-05-2018,9390,8965,9288.88,9217,25576.17832
10-05-2018,9395.12,9065,9130,9288.88,22850.8924
11-05-2018,9134.98,8462,8606.93,9129.99,45804.00888
12-05-2018,8684,8153,8350,8603.85,43309.71191
13-05-2018,8700.96,8298,8634.5,8349,25766.06607
14-05-2018,8823.99,8277,8729.95,8634.48,36379.6918
15-05-2018,8879.99,8427,8508.4,8729.45,29297.61494
16-05-2018,8588.64,8083.01,8266.5,8508.4,32675.40954
17-05-2018,8464,8101,8154,8266.5,20902.1875
18-05-2018,8241.91,7911.9,8200,8154,27297.07895
19-05-2018,8390.8,8095.73,8289,8202.67,18030.43665
20-05-2018,8558,8163.9,8536,8286.55,19324.29714
21-05-2018,8609,8305,8341,8531.01,22050.55022
22-05-2018,8449.11,8145,8214.39,8340.99,19342.17274
